index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Being Peruvian, i can tell you that this dessert is maybe the most popular and beloved one among us. We usually use 4 eggs ( 4 yolks for the custard and 4 for the merengue)",comment,146097936,5,positive_user_describing_changes,3,120,positive,Liked recipe but made changes
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"For the egg whites, can I use the whites from two of the eggs that I'm cracking for the yolks?",comment,69446844,4,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"""8 large egg yolks"" means use EIGHT large egg yolks.
""2 egg whites"" means use TWO egg whites. Not 8. Not 10. TWO.",comment,62756464,3,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,What is Red Port? Will any port work??,comment,59851134,2,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,The recipe is crystal clear.  Eight yolks plus two whites.,comment,56336857,2,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Reading through all the understandable confusion around the number of egg yolks and whites, I decided to try a different recipe. Here you go! <a href=""https://www.eatperu.com/suspiro-limeno-recipe"" target=""_blank"">https://www.eatperu.com/suspiro-limeno-recipe</a>/",comment,62921876,2,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,Interesting the confusion about the amount of eggs!. The directions are clear but some readers need the added clarifying step. Separate 8 eggs. Use the yolks in the custard and reserve 2 egg whites for the merengue. Use the other 6 egg whites for a different purpose. The hot port syrup pasteurizes the merengue but I'm not sure how you'd feel the inside of the bowl!,comment,84464631,2,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Tasty enough. But even for someone with a serious sweet tooth, I don't think I'll make this again, it's pretty over the top.",comment,73784328,2,thinks_recipe_is_flawed_due_to_flavor,3,120,negative,Didn't like recipe due to flavor
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Two of my guy’s favorite things are dulce de leche and port. So when I spotted this a few days ago and knew I had to make it. I didn’t have any trouble with the custard coming together, though I did cook the milks at a higher temperature than called for. Stirred with a rubber spatula near constantly but it reached the right consistency in about 30 minutes. Custard set up beautifully and the port meringue was lovely. Everything was delicious, though it is REALLY rich so could only eat a few bites. But it’s like eating spoonfuls of caramel. Super decadent.",comment,62180150,2,positive_user_describing_changes,3,120,positive,Liked recipe but made changes
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,Allergic to alcohol… any good substitutes?,comment,90196960,1,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,Given the amount of sugar and port - it must be 10. Should read 8 eggs separated plus 2 additional egg whites,comment,64612822,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,3,120,negative,Didn't like recipe due to technique or equipment
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"I believe it's 8 egg yolks.  And it's 2 egg whites, not 10 egg whites.",comment,7983852,1,maybe_not_about_the_recipe,3,120,neutral,Off-topic
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Robert please reread the recipe.  Egg whites- stiff peaks.  For others who question the eggs- when you separate the 8 eggs for the custard, reserve 2 of the whites for the meringue.  I love the history of the name.  It seems like English never gets to be a romance language.  In the meantime I'll rename some tasty recipes with memories of past paramours.",comment,67324112,1,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Passion for Peaches (on my phone article Comments) suggested skipping the SCM - Sweetened Condensed Milk, and instead using Dulce de Leche and adding egg yolks.",comment,13933155,1,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"I agree that the ingredients are not very clear when it comes to the eggs. After doing some research I believe that you are meant to cook eight egg yolks with the milks and whip 2 egg whites with the port syrup - that seems confirmed by other recipes. What is very unusual is the amount of eggs - usually the recipes call for two or three eggs divided and used in the caramelized milks and meringue. This uses EIGHT eggs! I know that part of this is discussed in the accompanying article, but still -",comment,769714,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,3,120,negative,Didn't like recipe due to technique or equipment
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,My custard did not firm up. It tastes good.  But....Any advice?,comment,69751788,1,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Could sherry be used instead of port?
Perhaps wouldn’t be sweet enough?",comment,76867567,1,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"This looks sinfully delicious, but we don't consume alcohol. Any substitution for port?",comment,73178742,1,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Recipe unclear, reader's comments are just great, custard made by Puddleglum is cool.
South American sweets are sweeter than in other parts of the world. In colonization times, sugar was one of the differences between rich and poor, and later the poor equalized...",comment,5102810,1,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,What s “red” port?,comment,65537845,1,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Delicious!
Clearly written recipe.",comment,85352537,1,positive_user_made_as_written,3,120,positive,Liked recipe and prepared as written
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"I have one can of “la lechera” sweetened condensed milk. It’s dulce de leche in a can. I was thinking to use it, but halve the recipe. Seems like a good idea to me, any thoughts? Because the recipe sounds so lovely.",comment,75992498,1,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,It took almost an hour to reduce the milks. I found the finished product far too sweet.,comment,53143664,1,thinks_recipe_is_flawed_due_to_flavor,3,120,negative,Didn't like recipe due to flavor
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"I wanted to love this, but it was essentially like eating sweetened condensed milk straight out of the can. Way too sweet, didn’t “set” very much, and just overall unpleasant. The port meringue was lovely, and the cinnamon flavor did work. Would not make this one again.",comment,137614592,1,thinks_recipe_is_flawed_due_to_flavor,3,120,negative,Didn't like recipe due to flavor
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Use 2 egg whites for the meringue. 

(Using only yolks (yes 8) sounds correct for a rich custard.)

While the recipe is clear, I understand the confusion because we are not accustomed to such a rich custard. 

Egg whites may be frozen. 
Does anyone know if thawed egg whites will whip well into a meringue?",comment,86061613,1,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"The custard was delicious, but for me the meringue felt like it came out too think and didnt have the flavour i expected given i used a port that I love. 

If I tried it again I probably wouldn't use a ruby port, but I doubt that I will because texturally I didn't really enjoy the meringue and custard combo. 

As others said, took way longer than 30 minutes to come together, closer to 45-50 for the custard and 30 for the port syrup.",comment,92522295,1,thinks_recipe_is_flawed_due_to_flavor,3,120,negative,Didn't like recipe due to flavor
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"To further the controversy regarding eggs, recipes from two other sources both call for just two egg yolks and two egg whites:                                                    
<a href=""https://www.eatperu.com/suspiro-limeno-recipe"" target=""_blank"">https://www.eatperu.com/suspiro-limeno-recipe</a>/        <a href=""https://www.curiouscuisiniere.com/suspiro-de-limena-peruvian-dessert"" target=""_blank"">https://www.curiouscuisiniere.com/suspiro-de-limena-peruvian-dessert</a>/",comment,82020851,0,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I read the ingredients as 8 large egg yolks (only yolks) for the custard. The 2 egg whites are for the meringue. I used the instructions as my guide. I'm excited to make this recipe.,comment,54831222,0,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,Can you substitute the port syrup for something else? This looks heavenly.,comment,78519680,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,How many egg whites do you use for the meringue? 10 or just the two? I'm confused.,comment,12920974,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"-Pretty sure it's 2 egg whites, not 10.  10 beaten egg whites would produce way, way more meringue than is required to top off 6-8 serving cups.",comment,65630414,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,3,120,negative,Didn't like recipe due to technique or equipment
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I know nothing about port. Does it matter what I get?,comment,69863932,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"What is ""½cup plus 2 tablespoons cup/120 grams granulated sugar""? 
And I assume it is 8 yolks and 2 whites.  Perhaps use the rest of the whites for making meringue cookies.",comment,13389085,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I’m rubbish at meringue…cdnt we just top with whipped cream reduced port?,comment,11918075,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Is there a way to make this without canned condensed and evaporated milk?
I would much prefer to use fresh milk and/or cream.

Thanks.",comment,56892491,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"So, again, does the recipe require a total of 2 or 10 egg whites (the whites from the 8 custard yolks + 2 extra)  for the meringue?  The instructions are ambiguous.",comment,31566270,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,how about “2 whole eggs and 6 egg yolks”?,comment,58498401,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,Does anyone know the size of the servings?  The nutritional notes just says 8 servings.  I’d like to know so I can figure out which serving dishes to use.,comment,66220082,0,question,3,120,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Glad I read the comments, 'cuz I was all set to use 10 egg whites. But a cup of port for just two whites? You're never getting a merengue out of that soup! And you'll need QUITE a bit more time than half an hour to get any thickening on low heat....",comment,62760720,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,3,120,negative,Didn't like recipe due to technique or equipment
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"It’s an overstatement to say raw eggs are unsafe. It depends on a lot of things. 

We need to use our own judgment and our individual needs. Some people are very vulnerable about this potentially, and some are not. I am not. My father is.

I happen not to like the taste of raw egg white meringue, so I’d change it anyway. But it really depends on the situation in your area. I have lived on the planet for over half a century and have literally never encountered a bad egg from the store.",comment,103638966,0,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"To the person who expressed concern about “raw” eggs, mixing the yolks with “hot steamy” milk is not the same as eating them raw. It’s probably more like poached eggs or even soft boiled. That said, you can still get salmonella from those if it’s present in the egg.  The point though is that people eat poached eggs all the time. I’m a food safety geek but I have to confess to loving them.",comment,52120254,0,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"This is pretty much a basic ""natilla""  recipe, which is a staple ""pudding"" common throughout Latin America and Spain...
 The beautiful name and romantic story notwithstanding.  The infused i merengue is interesting.",comment,75318056,0,thinks_recipe_is_inauthentic,3,120,negative,Thought the recipe was inauthentic
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"Can somebody please tell me what the difference is between evaporated milk and condensed milk. Do you know any brandstof perhaps. I live in Amsterdam, NL, and we have condensed milk but I would-be know where to obain evaporated milk.",comment,32583577,0,thinks_ingredients_hard_to_find,3,120,negative,Thought ingredients were hard to find
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I’ve cooked twice according to the instructions. The recipe has the exact taste and consistency of dulce de leche.,comment,79919654,0,positive_user_made_as_written,3,120,positive,Liked recipe and prepared as written
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,Tried to make this several times. Dulce de leche never darkened to the color of carmel — instead remained an unappetizing yellow. The meringue was delicious. I wouldn’t try this recipe a third time.,comment,64303184,0,thinks_recipe_is_flawed_due_to_cooking_time,3,120,negative,Thought the cooking times were wrong
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"I agree with Amanda. It took me 60 min to get the milks to thicken. I turned up the heat a little and it started to boil gently. The recipe doesn't say whether this is a good thing or a bad thing.
Also, I thought the pudding was unattractive. Looks like eating raw egg yolks. Very bright yellow. We'll see how it tastes.",comment,168819106,0,thinks_recipe_is_flawed_due_to_cooking_time,3,120,negative,Thought the cooking times were wrong
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,"The recipe is super clear if you read the instructions.  You use the 8 egg yolks for the recipe,  from the 8 egg yolks you reserve 2 of the egg whites from the 8 egg yolks.  You will have egg whites left over from 6 of the remaining eggs. (make white egg bites with the extra whites)  With 2 of the egg whites you will whip  your topping,   Super clear you do not need 10 eggs.",comment,75161786,0,user_responding_to_other_user,3,120,neutral,Commenter responding to other commenter
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,I read the comments and thought it can’t be that hard. This recipe is a bit like a soufflé. . . Simple on paper more difficult in practice. I found yes the milk took closer to 50 minutes. I tried this a second time and added the eggs directly to the milk mixture on the stove top and found it easier/faster to achieve the desired custard consistency however I still got a few tiny lumpy bits. I substituted rum for the port and will be making that syrup in other desserts.,comment,72456011,0,positive_user_describing_changes,3,120,positive,Liked recipe but made changes
