index,author,url,recipeTitle,commentBody,commentType,userID,commentRecommendations,ai_guess,recipeScore,numberOfRatings,sentiment,readable_ai_guess
14,Lisa Donovan,https://cooking.nytimes.com/recipes/1026208-gateau-nana,Gâteau Nana Recipe,Now that I’ve had slice after slice each time  I pass by the cake plate in which it rests ( day 2 ) each bite is a revelation. The recipe was not perfectly written but I know enough about baking to have traveled its pitfalls of prep successfully. Note that I forgot to use superfine sugar and used ordinary sugar. If you don’t have superfine that’s ok. As for “raw” pecans I’m not sure what those are except I searched for them at the supermarket and found a a box that said raw. I only use local farm eggs (@$7/dozen )  I get especially for my baking and and barely have any left. I’m not sure if I’ll make it again but relish every leftover morsel.,comment,65537845,45,positive_user_describing_changes,4,162,positive,Liked recipe but made changes
14,Lisa Donovan,https://cooking.nytimes.com/recipes/1026208-gateau-nana,Gâteau Nana Recipe,I just finished preparing this. What a production!  Follow directions carefully. Dealing with the dough is tricky rolling out. It should be refrigerated for a least 30 minutes. But it takes about that time to prepare the filling while the dough chills. I will give more details once it’s ready to serve,comment,65537845,36,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,162,negative,Didn't like recipe due to technique or equipment
15,Lisa Donovan,https://cooking.nytimes.com/recipes/1026116-brioche,Brioche Recipe,"Undoubtedly the French baker used French butter which has a higher fat content than American butter. But there’s no mention of that in the recipe as a suggestion to use high-fat butter. A good choice now widely available here is Irish butter such as Truly Grass Fed or Vermont Creamery, both  great fatty butters",comment,65537845,18,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,137,negative,Didn't like recipe due to technique or equipment
21,Lisa Donovan,https://cooking.nytimes.com/recipes/1025205-lemon-bars-with-pecan-crust,Lemon Bars With Pecan Crust Recipe,I made these and they’re very nice. Prefer lemon bars with shortbread crust. Why change a classic?,comment,65537845,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,253,negative,Didn't like recipe due to technique or equipment
26,Lisa Donovan,https://cooking.nytimes.com/recipes/1024773-cast-iron-orange-cake,Cast Iron Orange Cake Recipe,"The cake is delicious, though painstaking and messy to make. But after resting for 30 minutes in the pan, I took it out and it fell apart. I coated the pan with lots of olive as instructed.  Didn’t help. I won’t make this again",comment,65537845,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,615,negative,Didn't like recipe due to technique or equipment
8,Yewande Komolafe,https://cooking.nytimes.com/recipes/776699195-beef-patties,Beef Patties Recipe,After reading Step 9  I decided to not try it,comment,65537845,5,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,33,negative,Didn't like recipe due to technique or equipment
26,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024126-sopapilla-cheesecake-bars,Sopapilla Cheesecake Bars Recipe,I shudder at the thought of making any recipe to fit a 9 x13 pan in our household of two. Easily halved using 8x8 pan.   I also halve huge cake recipes for 12-cup Bundt pans into a 6- cup Bundt. Only thing is baking time to consider. I wing it sometimes successfully.,comment,65537845,1,positive_user_describing_changes,4,489,positive,Liked recipe but made changes
28,Ligaya Mishan,https://cooking.nytimes.com/recipes/1024003-spaghettini-with-bottarga-and-colatura,Spaghettini With Bottarga and Colatura Recipe,For two people why not double the recipe instead of doing each serving separately. Since the sauce gets “cooked “ by the warm pasta shouldn’t that work?,comment,65537845,1,question,4,482,neutral,Commenter asking a question
31,Ligaya Mishan,https://cooking.nytimes.com/recipes/1023692-chiffon-cake,Chiffon Cake Recipe,Can you use an ordinary one piece tube pan or Bundt pan instead?,comment,65537845,1,question,4,584,neutral,Commenter asking a question
1,Emily Weinstein,https://cooking.nytimes.com/recipes/1018061-pistachio-pound-cake-with-strawberries,Pistachio Pound Cake With Strawberries Recipe,I'd like to know how the Times calculates the conversion of weights from cups to grams.  In this recipe we're instructed to use 195 grams all-purpose flour for the equivalent of 1 1/2 cups all-purpose flour.  By most conversion charts 1 1/2 cups should be anywhere from 180 to 187 grams flour to equal 1 1/2 cups.  King Arthur Flour's conversion chart says that 1 cup all-purpose flour  is equal to 120 grams.  This diversion has been in many Times recipes. What gives?,comment,65537845,41,question,5,354,neutral,Commenter asking a question
2,Emily Weinstein,https://cooking.nytimes.com/recipes/1018052-simplest-strawberry-tart,Simplest Strawberry Tart Recipe,"This is not the easiest tart to make. Making a pastry cAse that you spread into the pan is not easy. It took a long time to get it right. Beating the mascarpone was another chore,spreading it  evenly in the case. My new gadget of a strawberry slicer was helpful but a quart of berries is a lot. 
After all us said and done it’s a delicious tart, which BTW has a shelf life of a few hours",comment,65537845,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,"1,162",negative,Didn't like recipe due to technique or equipment
18,Julia Moskin,https://cooking.nytimes.com/recipes/1023044-pad-kee-mao-drunken-noodles,Pad Kee Mao (Drunken Noodles) Recipe,In my household I can’t cook with super hot chilies so I substitute jalapeño with the seeds scraped out. That gives enough heat for everyone even though I like some heat occasionally.,comment,65537845,0,positive_user_describing_changes,4,"2,627",positive,Liked recipe but made changes
24,Julia Moskin,https://cooking.nytimes.com/recipes/1021550-james-beards-farmers-chicken,James Beard’s Farmer’s Chicken Recipe,I still find Mr Zimmern’s claim of going to Beard’s Sunday soirées suspect. Maybe it’s part of his TV hype. As a long time friend of his father he never once mentioned knowing James Beard much less his young son going there.,comment,65537845,1,maybe_not_about_the_recipe,4,"3,178",neutral,Off-topic
3,Kenji López-Alt,https://cooking.nytimes.com/recipes/1025123-macaroni-and-peas,Macaroni and Peas Recipe,You can easily make ham broth using a smoked ham hock cooked slowly with some aromatics,comment,65537845,1,positive_user_describing_changes,4,746,positive,Liked recipe but made changes
3,Kenji López-Alt,https://cooking.nytimes.com/recipes/1025123-macaroni-and-peas,Macaroni and Peas Recipe,"I used very good bacon, thick, fatty and Smokey. Had good Parmesan freshly grated. Had organic raw heavy cream, thick and silky. Fresh farm eggs recently hatched. Had the fresh herbs. I thought this would be really creamy. We thought it was very bland , uninteresting. If read so well but not my favorite by any measure",comment,65537845,1,thinks_recipe_is_flawed_due_to_flavor,4,746,negative,Didn't like recipe due to flavor
41,Kenji López-Alt,https://cooking.nytimes.com/recipes/1021973-schnitzel,Schnitzel Recipe,Store-bought lard? The awful processed stuff that should be avoided? I use freshly rendered lard from butcher or farmers market. But 2 pounds of this precious ingredient would be a shame to use.,comment,65537845,9,thinks_ingredients_hard_to_find,4,948,negative,Thought ingredients were hard to find
30,Ali Slagle,https://cooking.nytimes.com/recipes/765911183-red-curry-chicken-and-rice-bowls,Red Curry Chicken and Rice Bowls Recipe,The dish sounds awful like a banana split served over stuffed cabbage.,comment,65537845,0,thinks_recipe_is_flawed_due_to_flavor,4,567,negative,Didn't like recipe due to flavor
42,Kay Chun,https://cooking.nytimes.com/recipes/1026446-beef-dumplings-with-zucchini-tofu-and-chives,"Beef Dumplings With Zucchini, Tofu and Chives Recipe",I noticed a brand of dumplings( not frozen) at the supermarket and they looked good. I’m all for making from scratch but these are probably a lot of work,comment,65537845,0,maybe_not_about_the_recipe,5,148,neutral,Off-topic
0,Kim Severson,https://cooking.nytimes.com/recipes/1019329-dolester-miless-lemon-meringue-tart,Dolester Miles’s Lemon Meringue Tart Recipe,"As I thought it would, baking the pastry blind without weighing down  WILL make the dough shrink in the pre-baking even if you freeze the pie shell as instructed before baking.
Luckily I had some pastry scraps leftover and attached them to the half shrunken shell.  Then covered the pastry case with parchment and filled to the brim with sugar to weigh it down.  I keep a tin of sugar on hand to use for this purpose and you can use it over and over again.",comment,65537845,9,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,525,negative,Didn't like recipe due to technique or equipment
0,Kim Severson,https://cooking.nytimes.com/recipes/1019329-dolester-miless-lemon-meringue-tart,Dolester Miles’s Lemon Meringue Tart Recipe,What I'm curious about is pre-baking the crust without weighing it down.  Will it not shrink because it's a sweet cookie dough like crust or because it was frozen for a period of time.,comment,65537845,0,question,4,525,neutral,Commenter asking a question
5,Kim Severson,https://cooking.nytimes.com/recipes/1019226-stuffed-ham-southern-maryland-style,"Stuffed Ham, Southern Maryland Style Recipe",Wow! this is a recipe worth its monumental efforts. In Maine our pork farmers offer plenty of fresh ham legs ready to corn.,comment,65537845,12,positive_user_made_as_written,4,58,positive,Liked recipe and prepared as written
1,Genevieve Ko,https://cooking.nytimes.com/recipes/780600739-rhubarb-and-roasted-strawberry-pie,Rhubarb and Roasted Strawberry Pie Recipe,"I would replace the shortening with farm lard available from vendors at farmers markets or butcher. Don’t use that supermarket lard, which is highly processed",comment,65537845,10,positive_user_describing_changes,4,82,positive,Liked recipe but made changes
1,Genevieve Ko,https://cooking.nytimes.com/recipes/780600739-rhubarb-and-roasted-strawberry-pie,Rhubarb and Roasted Strawberry Pie Recipe,This pie requires more work than necessary since the roasting of strawberries contributed nothing to the overall effect except one more dish to wash.,comment,65537845,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,82,negative,Didn't like recipe due to technique or equipment
3,Genevieve Ko,https://cooking.nytimes.com/recipes/1027064-golden-diner-pancakes,Golden Diner Pancakes Recipe,"These were great but the instructions are not very orderly, making it much hard to understand what to do",comment,65537845,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,"1,087",negative,Didn't like recipe due to technique or equipment
15,Genevieve Ko,https://cooking.nytimes.com/recipes/1027448-quick-turkey-chili,Quick Turkey Chili Recipe,Too hot from chilies,comment,65537845,55,thinks_recipe_is_flawed_due_to_flavor,5,"1,023",negative,Didn't like recipe due to flavor
28,Genevieve Ko,https://cooking.nytimes.com/recipes/1026388-miso-marinated-pork-roast,Miso-Marinated Pork Roast Recipe,What if the roast is one the bone? Undo it or just rub the miso marinade on the outside?,comment,65537845,96,question,5,544,neutral,Commenter asking a question
28,Genevieve Ko,https://cooking.nytimes.com/recipes/1026388-miso-marinated-pork-roast,Miso-Marinated Pork Roast Recipe,This was one of most disappointing dishes ever. It should have been braised rather than roasted. It was tough.  Tasteless. And a mess to make. Still cleaning up the mess.,comment,65537845,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,544,negative,Didn't like recipe due to technique or equipment
28,Genevieve Ko,https://cooking.nytimes.com/recipes/1026388-miso-marinated-pork-roast,Miso-Marinated Pork Roast Recipe,Nothing about this dish worked. The meat should have been braised as you would with any pork shoulder. If it wasn’t for the cranberry chutney the dish would have been dry and tasteless.  the miso marinade added nothing.,comment,65537845,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,544,negative,Didn't like recipe due to technique or equipment
41,Genevieve Ko,https://cooking.nytimes.com/recipes/1025394-egg-in-a-nest-sandwich,Egg-in-a-Nest Sandwich Recipe,A thin tablespoon of butter or about 1/4 inch thick,comment,65537845,0,question,5,232,neutral,Commenter asking a question
5,Christina Morales,https://cooking.nytimes.com/recipes/1025030-suspiro-a-la-limena-caramel-pudding-with-port-meringue,Suspiro a la Limeña (Caramel Pudding With Port Meringue) Recipe,What s “red” port?,comment,65537845,1,question,3,120,neutral,Commenter asking a question
21,David Tanis,https://cooking.nytimes.com/recipes/1027130-madhur-jaffreys-goan-shrimp-curry,Madhur Jaffrey’s Goan Shrimp Curry Recipe,I’d have to use mild smoked paprika. Can’t have ultra hot foods.   Wondering about the comment to use curry powder instead of the other spices,comment,65537845,29,question,5,"1,561",neutral,Commenter asking a question
5,Eric Kim,https://cooking.nytimes.com/recipes/774285097-braised-kimchi-chicken-with-sweet-potatoes,Braised Kimchi Chicken With Sweet Potatoes Recipe,I love braising and this recipe seems almost irreverently delicious. Not a fan of drumsticks but using the whole leg saves it. I’m curious about Asian sweet potatoes. I don’t think I’ll find them at any stores in my small town along Midcoast Maine,comment,65537845,16,thinks_ingredients_hard_to_find,5,80,negative,Thought ingredients were hard to find
16,Eric Kim,https://cooking.nytimes.com/recipes/1027487-mushy-peas,Mushy Peas Recipe,Too bad the real mushy peas are not available in US. Why not?   The term “freshly boiled water” is an odd description. Why not say just boiled water?,comment,65537845,0,thinks_ingredients_hard_to_find,5,92,negative,Thought ingredients were hard to find
32,Eric Kim,https://cooking.nytimes.com/recipes/1026790-crispy-chicken-with-lime-butter,Crispy Chicken With Lime Butter Recipe,"What about the quality and provenance of the bird?  Supermarket chickens don’t cut the mustard. Nor do $50  chickens—pastured and organic—are ridiculously expensive if not totally disappointing. I go to a local farm in Warren, ME for chicken, which is now $4.99 per pound, a dollar more than last year.",comment,65537845,1,thinks_ingredients_hard_to_find,5,"3,432",negative,Thought ingredients were hard to find
35,Eric Kim,https://cooking.nytimes.com/recipes/1026730-chicken-a-la-king,Chicken à la King Recipe,"I roast a whole chicken often for my household of two. With leftovers I’ll either make chicken enchiladas or a variation of chicken a la king or creamed chicken served over biscuits or cornbread. Pimentos are essential for a spike of color and you should try to use homemade chicken stock instead of canned. It’s always a very pleasing dish, a nice reprieve from all the miso spiked or hot sauce concoctions that plague our culinary hedonism.",comment,65537845,13,positive_user_describing_changes,5,263,positive,Liked recipe but made changes
38,Eric Kim,https://cooking.nytimes.com/recipes/1026602-basic-white-rice,Basic White Rice Recipe,"I’ve never been a rice fan, preferring potatoes as my starch. The only exception is the rice from Anson Mills whose Carolina gold rice has tremendous flavor and texture. I think Kim should have to included thoughts on the most delicious rice to use. Supermarket rice is generally bland. Some guidance on that would have helped",comment,65537845,0,thinks_recipe_is_flawed_due_to_flavor,5,266,negative,Didn't like recipe due to flavor
41,Eric Kim,https://cooking.nytimes.com/recipes/1026299-gukbap-beef-and-bean-sprout-soup-with-rice,Gukbap (Beef and Bean Sprout Soup With Rice) Recipe,There should have been a note regarding Gochugaru,comment,65537845,8,thinks_ingredients_hard_to_find,5,72,negative,Thought ingredients were hard to find
41,Eric Kim,https://cooking.nytimes.com/recipes/1026299-gukbap-beef-and-bean-sprout-soup-with-rice,Gukbap (Beef and Bean Sprout Soup With Rice) Recipe,Since the closest Asian market is nearly 70 miles away I looked up substitutes for gochugaru l. Have Gochujang so I will use that and add smoked paprika and sweet chili sauce. We don’t like heat anyway. By some miracle I had a pound of flat iron steak in the freezer so I’ve goy the test and will make it tonight since it’s a snow-covered day in Midcoast Maine with another storm forecasted for tonight.,comment,65537845,6,positive_user_describing_changes,5,72,positive,Liked recipe but made changes
43,Eric Kim,https://cooking.nytimes.com/recipes/1026301-olive-oil-mashed-potatoes-with-bay-leaves,Olive-Oil Mashed Potatoes With Bay Leaves Recipe,What are ozettes?  In maine we have a great yellow potato called pinto. The ski skins are red and fade to light and flesh is deep yellow,comment,65537845,0,question,5,375,neutral,Commenter asking a question
15,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1026665-spiced-pea-stew-with-yogurt,Spiced Pea Stew With Yogurt Recipe,"I knew halfway through cooking that this wouldn’t b good. Thin, bland and far from a tasty hearty spring soup.  I followed a lot of the suggestions but they didn’t help",comment,65537845,3,thinks_recipe_is_flawed_due_to_flavor,5,980,negative,Didn't like recipe due to flavor
15,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1026665-spiced-pea-stew-with-yogurt,Spiced Pea Stew With Yogurt Recipe,"My favorite dish of frozen peas is mousseline of  peas, a recipe from a cookbook on French cooking that I’ve been making for years. I serve it with roast lamb and daupininois of potatoes. Cook the peas in plenty of water with a small carrot, peeled onion and a sprig or two of thyme. Get them real soft. Drain.  Discard the carrot, onion and thyme. Put in a food processor or food mill. Purée, adding generous bits of butter and heavy cream until the puree is smooth. Absolutely delicious",comment,65537845,0,maybe_not_about_the_recipe,5,980,neutral,Off-topic
35,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1024237-zucchini-pasta-with-crispy-capers-and-pistachios,Zucchini Pasta With Crispy Capers and Pistachios Recipe,This was pretty good but the directions are terrible. No need to use small and medium saucepans ( f”goes he  mean sauté pan?). Used used a 9- and 10 inch pan when it all could have worked one pan. Too many pans Too many plates to use for draining. But his recipes are too convoluted.  Could be much simplified otherwise flavor profiles are great,comment,65537845,1,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,536,negative,Didn't like recipe due to technique or equipment
41,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1023784-lamb-meatball-and-semolina-dumpling-soup-with-collard-greens,Lamb Meatball and Semolina Dumpling Soup With Collard Greens Recipe,"I have leftover lamb from a roast. Could the meat be ground and used for the meatballs, just browning quickly or would they be too dry?",comment,65537845,0,question,5,304,neutral,Commenter asking a question
41,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1023784-lamb-meatball-and-semolina-dumpling-soup-with-collard-greens,Lamb Meatball and Semolina Dumpling Soup With Collard Greens Recipe,I totally agree that step 3 should have been broken down into 3-4 segments. There’s a lot going on. One omission was the 1/4 cup lemon juice at the end of the ingredients list for broth. I reread it many times and could not find any mention of when to add the lemon juice. I just added it to the broth last; it tasted nice with it. I haven’t finished preparation yet but think it will be ok. Lots of work!,comment,65537845,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,304,negative,Didn't like recipe due to technique or equipment
41,Yotam Ottolenghi,https://cooking.nytimes.com/recipes/1023784-lamb-meatball-and-semolina-dumpling-soup-with-collard-greens,Lamb Meatball and Semolina Dumpling Soup With Collard Greens Recipe,"Now that I’ve made this from start to finish I’m thoroughly convinced that recipes from restaurant chefs are problematic. I found the use for the lemon juice, which you add as the last ingredient of the entire recipe. The procedure in step three gave me other pauses . After adding the 6 tablespoons of tomato paste it’s exactly the contents of 6 ounce can of paste.  For me it made the soup very dark—brown—instead of the nice reddish hue showing in NYT photo. The dumplings were leaden.",comment,65537845,0,thinks_recipe_is_flawed_due_to_technique_or_equipment,5,304,negative,Didn't like recipe due to technique or equipment
19,Priya Krishna,https://cooking.nytimes.com/recipes/1023785-magnolia-bakerys-banana-pudding,Magnolia Bakery’s Banana Pudding Recipe,I finally made this and admit that’s it’s excellent. My only regret is that I don’t have a magnolia bakery near me so I can just buy the amount I need. This recipe can easily serve 10 a lot for my household of two. I think though that I prefer the version made with an egg custard or to use this recipe in a pie version,comment,65537845,10,positive_user_made_as_written,4,"4,983",positive,Liked recipe and prepared as written
19,Priya Krishna,https://cooking.nytimes.com/recipes/1023785-magnolia-bakerys-banana-pudding,Magnolia Bakery’s Banana Pudding Recipe,"Indeed there are much better alternatives than those boxes of nilla wafers, as good ad swamp crackers. Any of the fine digestives are much better",comment,65537845,0,positive_user_describing_changes,4,"4,983",positive,Liked recipe but made changes
36,Priya Krishna,https://cooking.nytimes.com/recipes/1020139-garlic-ginger-chicken-breasts-with-cilantro-and-mint,Garlic-Ginger Chicken Breasts With Cilantro and Mint Recipe,Made it last night. Delicious!!!!!,comment,65537845,0,positive_user_made_as_written,4,"3,298",positive,Liked recipe and prepared as written
0,Alexa Weibel,https://cooking.nytimes.com/recipes/774980183-spicy-broccoli-rabe-pasta,Spicy Broccoli Rabe Pasta Recipe,What if you omit the pepper flakes?,comment,65537845,0,question,5,223,neutral,Commenter asking a question
8,Alexa Weibel,https://cooking.nytimes.com/recipes/1026264-steak-au-poivre-for-two,Steak au Poivre for Two Recipe,Why not crush the peppercorns in a mortar and pestle?,comment,65537845,1,question,5,787,neutral,Commenter asking a question
8,Alexa Weibel,https://cooking.nytimes.com/recipes/1026264-steak-au-poivre-for-two,Steak au Poivre for Two Recipe,I used my electric pepper mill with the grind setting on coarse to get the desired large bits of pepper flakes. Worked pop perfectly,comment,65537845,0,positive_user_describing_changes,5,787,positive,Liked recipe but made changes
45,Alexa Weibel,https://cooking.nytimes.com/recipes/1023767-el-cholos-sonora-style-enchiladas,El Cholo’s Sonora-Style Enchiladas Recipe,This is an extraordinary preparation. This a time consuming for starters. It is more of a restaurant prep rather than a standard effort for the home cook. Making both sauces enabled me to use a pile of pots and an incredibly difficult clean up. The directions and method were a jumble of directives not easily followed. Finally after hours making this I served it. It was delicious. I’d like to  simplify this maybe with one sauce or at best to find a restaurant that does this style of cooking.,comment,65537845,9,thinks_recipe_is_flawed_due_to_technique_or_equipment,4,509,negative,Didn't like recipe due to technique or equipment
45,Alexa Weibel,https://cooking.nytimes.com/recipes/1023767-el-cholos-sonora-style-enchiladas,El Cholo’s Sonora-Style Enchiladas Recipe,So these are not tortillas wrapped around the filling? You stack sauce and filling. I’m making it with just one of the sauces to save time to use up my leftover roast chicken,comment,65537845,1,question,4,509,neutral,Commenter asking a question
4,Melissa Clark,https://cooking.nytimes.com/recipes/778097361-lemon-chicken-with-asparagus,Lemon Chicken With Asparagus Recipe,"I got my first local asparagus yesterday from Beth’s farmers market in Warren, ME. I poached the spears in water and dressed with Via Carota’s famous vinaigrette made with shallots and sherry vinegar. Divine. The market is about 12 miles from home but worth the time and gas money to go to this market. Picked up local rhubarb, too. In Midcoast maine the farmers markets are still shy of produce. We’re all waiting for the first baby carrots., strawberries and new potatoes",comment,65537845,92,maybe_not_about_the_recipe,5,746,neutral,Off-topic
4,Melissa Clark,https://cooking.nytimes.com/recipes/778097361-lemon-chicken-with-asparagus,Lemon Chicken With Asparagus Recipe,Instead of worrying about overcooking the white meat I think the better route is not to overcook the asparagus as they cook alongside the chicken in the last 20 minutes. Test after 10 to 15 minutes. Nonetheless I will make this again with locally available asparagus and add a few small new potatoes. It was a delicious dish. The leftovers will be great tonight used in chicken enchilada casserole,comment,65537845,34,positive_user_describing_changes,5,746,positive,Liked recipe but made changes
25,Melissa Clark,https://cooking.nytimes.com/recipes/1027572-lemon-garlic-brisket,Lemon-Garlic Brisket Recipe,"This was a wonderful article and explains your interest and expertise in food and food writing. What an exciting time around the family dinner table  you must have had, full of culinary surprises. I’ll try your lemony brisket though the flavor of lemon seems off in this dish but will hold off commenting more until I’ve tried it.",comment,65537845,3,thinks_recipe_is_flawed_due_to_flavor,5,307,negative,Didn't like recipe due to flavor
27,Melissa Clark,https://cooking.nytimes.com/recipes/1027513-classic-thanksgiving-turkey,Classic Thanksgiving Turkey Recipe,"I have always draped the breast portion with cheesecloth soaked in  butter, which gets removed about half hour before the turkey is done. Also still grease the breast portion with butter or olive oil before covering with cheesecloth. The breast is always moist as a result.",comment,65537845,0,positive_user_describing_changes,5,610,positive,Liked recipe but made changes
35,Melissa Clark,https://cooking.nytimes.com/recipes/1027323-roasted-chicken-with-vinegared-grapes,Roasted Chicken With Vinegared Grapes Recipe,"Look in any British cookbook and you’re apt to find boiled chicken or turkey, my favorite with green  grape white sauce",comment,65537845,3,maybe_not_about_the_recipe,4,121,neutral,Off-topic
41,Melissa Clark,https://cooking.nytimes.com/recipes/1026618-turkey-meatloaf-with-parmesan-and-red-wine,Turkey Meatloaf With Parmesan and Red Wine Recipe,"This was just awful. Dry, tasteless and total waste of good enough ingredients. Even the tomato mixture was ill conceived",comment,65537845,1,thinks_recipe_is_flawed_due_to_flavor,4,749,negative,Didn't like recipe due to flavor
42,Melissa Clark,https://cooking.nytimes.com/recipes/1026542-baked-lemon-pudding-with-blueberry-jam,Baked Lemon Pudding With Blueberry Jam Recipe,This was very pleasant and indeed very lemony.,comment,65537845,1,positive_user_made_as_written,5,639,positive,Liked recipe and prepared as written
2,Claire Saffitz,https://cooking.nytimes.com/recipes/779827704-lemon-basque-cheesecake,Lemon Basque Cheesecake Recipe,This seems like a formidable recipe but I bet it’s absolutely wonderful and worth the time and effort,comment,65537845,10,maybe_not_about_the_recipe,5,55,neutral,Off-topic
5,Claire Saffitz,https://cooking.nytimes.com/recipes/772052394-sheet-pan-tarte-tatin,Sheet Pan Tarte Tatin Recipe,What about a smaller version?,comment,65537845,0,question,4,26,neutral,Commenter asking a question
22,Claire Saffitz,https://cooking.nytimes.com/recipes/1024760-chocolate-layer-cake,Chocolate Layer Cake Recipe,"Full fat buttermilk is a misnomer. It means that it’s pure buttermilk made from cream with little flecks of butter in the milk. It has no cultures and has a short shelf life. I used to drive 50 miles to an old fashioned dairy farm with the most intense raw butter, milk and cream and their buttery butter milk. Generally I use Kate’s buttermilk available in most stores in Maine. I think it fits term full fat an item used in the south",comment,65537845,0,maybe_not_about_the_recipe,5,"1,224",neutral,Off-topic
